umbral2|Lo de tener un Fiscal General proesado penalmente, no pasa en ninguna democracia.
ZLuis|@ADELE_ #229 Cerrar @ ZLuis # 216 Claro, hay que convocar elecciones cada semana, hasta que salga lo que quieras tú. Las elecciones de 2023 no cuentan, hacía musha caló. No te pongas nerviosa. No hay que convocar elecciones hasta que salga lo que yo quiera, faltaría mas, pero te sigo diciendo lo mismo. Y no te vayas por los cerros de Ubeda, :)
LuisM|Hoy en día ser de izquierdas debería avergonzar a quien lo dice, es sinónimo de corrupto, pero es que antes era sinónimo que personajes de mediante el uso de la fuerza conquistaban el poder y una vez en el pin pan pun millones de víctimas. Y los trabajadores? Trabajando pero sin derechos ni que llevarse a la boca ni posibilidad de progresar
Casilda|@Con_tres_000 #333 Cerrar @ 228dead # 305 ¿Quién es usted?, no tengo el gusto de conocerle. Si busca rollete LGTBI, le sugiero que acuda a una sauna, o al ministerio del interior, le recibirán con las nalgas abiertas. Que tenga un buen día. pillín y como sabes eso ???.
ZLuis|@ADELE_ #249 Cerrar @ ZLuis # 191 Claro, como las pruebas de Begoña, va a ir todo genial, ya verás. Adelita, como con las pruebas de Begoña? Te sigo recomendando un curso de comprensión lectora. Leete el auto y si no das para entenderlo, me lo dices y te lo explico.
conchalote96|@Oliver44 #11 Cerrar El primer fiscal general del Estado sentado en un banquillo. Y señoras y caballeros siguen en su cargo. Esto solo puede pasar en España. Hace tiempo que no es fiscal general del estado. Lo es del gobierno. Y destruir pruebas que te incriminan no es propio de una persona de la judicatura...en una democracia. Aún queda algún juez imparcial en este país aunque propósito de este gobierno es nombrarlos a dedo, sin pasar una oposición y que sean los fiscales los que lleven a cabo la instrucción.
FURILO|ESte juez en cualquier momento le ponen una bomba lapa, y ya sabemos quien
LuisM|Trump está tomando nota y aprendiendo
El_futuro_ya_paso|Aguanta, Alvaro... Aguanta¡¡¡¡¡
Korreynopares|A la cárcel, por sectario.
Constanza24|El novio de Ayuso mal por defraudar, Ayuso mal por defenderlo (qué es culpable) y el fiscal general, pero hombre, si ya sabes que es culpable, no le ofrezcas un trato para ir después por él para anular a la consorte. Que al final os juzgan a los dos, como debe ser.
Casilda|@Ciertamente_circunspecto #212 Cerrar Alvarone, compra jabón líquido, mejor que no se te caiga una pastilla de jabón al suelo. Son muy resbaladizas. como se nota que usted lo ha probado ...ja ja ja.
Apagon_Sanchez|@Novale #304 Cerrar @ Quetevotetxapapote # 271 ojalá. Si hicieran eso el psoe gobernaría otros 8 años. Suficientes para llegar al pleno empleo y resolver de una vez los problemas de este país. El PSOE de Zparo no va a lograr el pleno empleo. Sus cifras falsas como las de Tezanos, quizá, pero sal a la calle, mira la realidad, y verás que es todo mentira.
Con_tres_000|@ADELE_ #253 Cerrar @ Con_tres_000 # 186 Para peluca la que se puso el novio de Ayuso para declarar, no? Dicen que se la eligió ella. Cacerola, vigile los signos ortográficos. En los chinos venden bolsas con 200 "¿" por 1 €. Claro, primero tendrá que aprender a utilizarlos, eso va a ser más difícil.
Casilda|@tienesrazon #215 Cerrar @ Fakejo # 10 ¿Cuál disgusto ha sido más gordo, el que ayer ganara Alcaraz o que hoy procesen a tu corrupto Fiscal General?. Vaya días malos que llevas fake. nada comparado con los 30 juicios que tiene pendientes el pp y algunos con 30 años de cárcel.
Steve|Es evidente que el Fiscal actuó en connivencia con Presidencia de Gobierno. La prueba es que ebseguida salieron TODOS de ahí. Empezando por Oscar López que lo pusieron de ministro, su Jefa d e Gabinete ( la que presionó a Lobato) , ahora Jefa de Paradores, el Secretario de Estado de Comunicación de Moncloa que dimitió porque dijo que necesitaba un descanso...Fue espectacular todo esto para todos los que entendíamos bastante bien lo que estaba pasando.
El_futuro_ya_paso|Y todavía estamos a lunes.
Dies_Irae|En cualquier país que no sea una república bananera esto es motivo de dimisión del presidente del gobierno y convocatoria inmediata de elecciones. Pero aquí no pasa nadaaaaa.
pagafiestas|A JUICIO Y A LA CÁRCEL ESTE INDECENTE SUJETO, PEÓN DE SANCHEZ Y AL SERVICIO DE LA MAFIA QUE TIENEN MONTADA EN MONCLOA.
Apagon_Sanchez|@marcameron #314 Cerrar Si dejaron en nada el robo de 680 millones de dinero de los españoles, con los culpables en la calle y sin devolver un céntimo... El difundir datos personales del novio de Ayuso para acabar con Ayuso, queda en nada y menos. En la proxima manifa quedaos en casa, que se ve que Sánchez os dice que llueve y vosotros mirando al cielo felices. Otra cosa es lo que cae del cielo... A todos los socialistas les está lloviendo fango sanchista encima, y a cántaros, pero Sánchez ha ordenado decirle que solo es lluvia, y todos sonríen felices.
Casilda|@No_voto_a_nadie #217 Cerrar Si Hurtado hubiera decidido no procesar al fiscal general, estaría reconociendo que su instrucción ha sido una chapuza desde el primer momento. No le quedaba más remedio que procesarle para no hacer el ridículo. Por su parte, García Ortiz puede estar bien tranquilo, saldrá absuelto. totalmente de acuerdo .
Ciudadanno|Pretender colar que la parte perjudicada fue la filtradora de sus propios datos confidenciales, fue una defensa cuanto menos sorprendente. Con sus votantes coló, pero con gente de CI estándar, pues no.
Casilda|@toni22 #220 Cerrar Todo esto DA IGUAL. Mientras los pensionistas vean aumentadas sus pensiones año tras año, NO PASA NADA. Sus hijos y sus nietos no podrán tener un sueldo ni una vivienda digna, pero los pensionistas van bien. Entonces, la conclusión, es que sufran hijos y nietos, que los abuelos están bien. España va bien, esa es la conclusión. Y Sánchez lo sabe, por eso hay que revalorizar las pensiones aunque haya que recurrir a más deuda en un momento en que se pagan más impuestos que nunca. cuando usted renuncie a su sueldo me lo creeré , no creo que un jubilado tenga la culpa que los demás no sepan defender sus derechos.
Apagon_Sanchez|Alvarone, palante.
El_futuro_ya_paso|García Ortiz ya ha recibido un mensaje de apoyo de sanchez, dice "Yo estoy bien, Aguanta, Alvaro, aguanta¡¡¡ Tú a Extremera y yo a Dominicana qué duro futuro nos ha preparado el destino ultra"
JGH23|Van cayendo. Suma y sigue
Koldo_askatu_Libertad|La que ha liado. Se le va a caer el pelo a ese señor.
Quetevotetxapapote|Para "tapar" el gatillazo de Feikjóo ayer en la Pza. de España, el juez PPero Hurtado sale en su auxilio imputando al FGE. Es muy burdo pero vamos con ello... (pero va a ser que no).
Apagon_Sanchez|@moskorti #238 Cerrar El comisionista y defraudador confeso pa cuando? Levanta un poco el morro de tu pesebre, Trolaños, que te vas a atragantar.
Con_tres_000|@228dead #305 Cerrar @ Con_tres_000 # 186 oye y a ti no te sobra un 0 ? o es que quizás vives cerca de una central nuclear, como el pez de los simpson, eh ¿Quién es usted?, no tengo el gusto de conocerle. Si busca rollete LGTBI, le sugiero que acuda a una sauna, o al ministerio del interior, le recibirán con las nalgas abiertas. Que tenga un buen día.
tienesrazon|@Quetevotetxapapote #271 Cerrar Que hoy el ABC dedique la portada a Alcaraz y a un torero el día después de que Nunez Feijoo se la jugara todo a una manifestación en Madrid -donde pinchó- es señal evidente que el PP ya está apostando por Ayuso como la nueva candidata. Ayuso, unificará a las derechas en una nueva CEDA, mezcla de Queipo de Llano y Primo de Rivera. Y Feijóo ha sido como aquel efímero Hernández Mancha que solo sirvió para ganar tiempo entre Fraga y Aznar. Pedimos humildemente perdón a los rojos porque Morante saliera a hombros, Alcaraz ganara el Roland Garrós y el corrupto Fiscal General sea procesado, no se volverá a repetir, jaja.
Apagon_Sanchez|@LaAmenazadeLosgolpistas #239 Cerrar Una accion más de la caceria nauseabunda de los "jueces del fango" contra el gobierno democrático de España. Un grupo de jueces ha puesto en práctica lo que les ordenó Aznar: "El que pueda prevaricar que prevarique". El inquisidor Hurtado intenta consumar su felonia judicial contra García Ortiz Si piensas que solo hay democracia cuando gobiernan los tuyos ... pero así no pensamos los demócratas, así solo pensáis los dictadores.
espantajo|Pepejueces
El_futuro_ya_paso|@Burgos2 #278 Cerrar @ El_futuro_ya_paso # 267 PP TRES VECES CONDENADO POR CORRUPCION, JEJE. RATO, ZAPLANA ETC JEJE. AYUSO Y SYS ANCIANOS, POLICIA PATRIOTA, UCO PATRIOTA, MINISTRO DEL INTERIOR TIC TAC, ESTAIS ACABADOS JEJE. Y Q CURIOSO Q EL PSOE NO. JAJAJAJA ¿No le ha gustado #267 Cerrar Ista, ista, ista... La España Socialista ? Pues es lo que hay.
Apagon_Sanchez|@Tortilla_de_mortadela #248 Cerrar Todos sabemos en qué va a acabar esto. Y un aviso a la fachosfera: en las películas, las balas suelen ser infinitas, pero en la vida real no, y ya se os están agotando. Balas las de la Leire a las órdenes de Sánchez, que con una "bala investigadora" quería librar a Sánchez de quince casos de putrefacta corrupción.
El_futuro_ya_paso|@ADELE_ #286 Cerrar @ No_voto_a_nadie # 217 Sí, usted casi mejor que no vote, gracias. Sobra un "que" ¿A usted no le enviaron a la escuela? Ahhh... que le ataban en la puerta hasta la hora de salir. Entonces nada.
Novale|Queremos saber cuánto nos cuesta a los contribuyentes esta patochada. Si Aznar, el asesino de atocha, quiere show, que lo pague él.
jdlr65|Es una vergüenza que este fiscal no haya abandonado el cargo todavía. Le hace un tremendo daño a la institución y demuestra lo inmoral que es el mismo,
Casilda|@El_futuro_ya_paso #257 Cerrar Disculpen a @ ADELE_ # 221, hoy no ha tomado la medicación y con esta noticia está especialmente rabioso. No contesten, pulsen el botón de denunciar y a otra cosa mariposa. se repite usted como el ajo ..se nota su edad , cuídese .
Victrix|@umbral2 #3 Cerrar Lo de tener un Fiscal General proesado penalmente, no pasa en ninguna democracia. pues si que pasa: con un juez que huele a prevaricador
Eugenio2|Esto no es nuevo en el Psebre Mariano Rubio era el que nos custodiaba el DINERO, Roldán el que nos protegía de los DELICUENTES y este nos protegía ¿de qué?
JPV|@ADELE_ #269 Cerrar @ Rakataplan # 231 Claro, es que el juez Peinado no puede llevar todos los casos. Pero es que está muy liado con el de la Bego, un año de instrucción y todavía no ha encontrado nada delictivo. Fíjate si no se ha encontrado nada en el caso Bego, que está IMPUTADA exactamente por los mismos delitos que Urdangarin en el caso Noos.
SS20|El régimen está podrido
tienesrazon|Los rojos defienden al corrupto Fiscal General porque defienden toda la corrupción de Sánchez, pero a la que de verdad quieren es a la fiscal del cianuro para Ayuso, tienen el mismo deseo y lo que lamentan es que no se lo pudiera administrar de verdad.
Saltimbanky|Y no solo serás juzgado, sino que también serás condenado. Pa'lante que vas, campeón.
Ras|@_Placebo72 #290 Cerrar "El portavoz del PP en el Senado, a sus compañeros: "Controlaremos la sala segunda (del Supremo) desde detrás". Y dónde desarrolla su impecable trabajo el juez Hurtado? Coincidentemente, en la sala segunda del Supremos, oiga. Largo Caballero lo que no ganemos en las urnas lo ganaremos en la calle, zurdo
Indomito|@Segistobre #252 Cerrar Ángel Hurtado: el juez que no vio la relación del PP con Gürtel es el que ahora envía a juicio al fiscal general. qué malvado el juez Hurtado , le vais a tener que poner la cabeza de caballo en las sábanas de seda , como hicisteis en el Padrino .
Apagon_Sanchez|@Burgos2 #278 Cerrar @ El_futuro_ya_paso # 267 PP TRES VECES CONDENADO POR CORRUPCION, JEJE. RATO, ZAPLANA ETC JEJE. AYUSO Y SYS ANCIANOS, POLICIA PATRIOTA, UCO PATRIOTA, MINISTRO DEL INTERIOR TIC TAC, ESTAIS ACABADOS JEJE. Y Q CURIOSO Q EL PSOE NO. JAJAJAJA El PSOE fue condenado por financiación ilegal, pero como tienes medio cerebro necrosado eres incapaz de entenderlo. Jeje.
marcameron|Si dejaron en nada el robo de 680 millones de dinero de los españoles, con los culpables en la calle y sin devolver un céntimo... El difundir datos personales del novio de Ayuso para acabar con Ayuso, queda en nada y menos. En la proxima manifa quedaos en casa, que se ve que Sánchez os dice que llueve y vosotros mirando al cielo felices. Otra cosa es lo que cae del cielo...
El_futuro_ya_paso|@Utopilitologo #276 Cerrar Atención; Sí usted manifiesta signos de gatillazo, tome Ppjuecina. Reduce el ardor estomacal y retaguardia. Usted lo tiene más fácil. Solo necesita vaselina y la puede encontrar por todas partes.
Viano43|@Trobio #274 Cerrar Estáis procesando a la esposa del presidente del gobierno, estáis procesando a su hermano, ahora estáis procesando a su Fiscal General. ¿todavía os atrevéis a decir desde la ultra derecha que no hay una campaña contra el gobierno? ¡Como sigáis así vais a acabar con el derecho socialista a la corrupción! jarabe democrático, si han cometido delitos por que no van a pagar por ellos??? Aporte pruebas que defiendan su inocencia.... Cuñaoo
Novale|@Viano43 #259 Cerrar A estas horas de la mañana estoy está lleno de rojos,claro ficharan y pasarán de currar como buenos rojos, como hacía Zapatero en su época en León, fichaba y al garito y lo dice usted a estas horas?
Novale|@El_futuro_ya_paso #262 Cerrar Aguanta, Alvaro... Aguanta¡¡¡¡¡ no estará diciendo usted que el pp encubría a un corrupto??
